nct_id,drug_name,status,phase,start_date,why_stopped
NCT00352677,Imatinib,COMPLETED,PHASE1,,
NCT03624530,Imatinib,UNKNOWN,"PHASE2,PHASE3",,
NCT01073644,Imatinib,TERMINATED,,,The study was prematurely discontinued due to poor recruitment on 18th April 2013. There were no safety concerns that led to the decision to terminate.
NCT00861471,Imatinib,TERMINATED,"PHASE1,PHASE2",,due to slow accrual
NCT00510653,Imatinib,COMPLETED,PHASE2,,
NCT00444795,Imatinib,COMPLETED,,,
NCT00769782,Imatinib,COMPLETED,PHASE2,,
NCT00511069,Imatinib,COMPLETED,PHASE2,,
NCT04129931,Imatinib,COMPLETED,PHASE2,,
NCT00054431,Imatinib,COMPLETED,PHASE2,,
NCT02269267,Imatinib,COMPLETED,PHASE2,,
NCT00793871,Imatinib,COMPLETED,PHASE4,,
NCT01126892,Imatinib,COMPLETED,PHASE3,,
NCT02130557,Imatinib,COMPLETED,PHASE3,,
NCT02495519,Imatinib,COMPLETED,PHASE2,,
NCT03891901,Imatinib,COMPLETED,PHASE2,,
NCT00253565,Imatinib,COMPLETED,PHASE1,,
NCT00156286,Imatinib,COMPLETED,PHASE2,,
NCT00171977,Imatinib,COMPLETED,PHASE4,,
NCT01762969,Imatinib,UNKNOWN,PHASE2,,
NCT00896129,Imatinib,COMPLETED,,,
NCT03381053,Imatinib,UNKNOWN,,,
NCT00506831,Imatinib,COMPLETED,"PHASE1,PHASE2",,
NCT00085475,Imatinib,COMPLETED,PHASE2,,
NCT01738139,Imatinib,COMPLETED,PHASE1,,
NCT00075400,Imatinib,COMPLETED,PHASE2,,
NCT02326311,Imatinib,COMPLETED,PHASE3,,
NCT07061145,Imatinib,RECRUITING,,,
NCT00376467,Imatinib,COMPLETED,PHASE2,,
NCT01281865,Imatinib,COMPLETED,"PHASE1,PHASE2",,
NCT07096609,Imatinib,NOT_YET_RECRUITING,"PHASE1,PHASE2",,
NCT00583115,Imatinib,TERMINATED,PHASE2,,Unable to enroll subjects
NCT02812693,Imatinib,WITHDRAWN,"PHASE1,PHASE2",,poor accrual
NCT01321775,Trastuzumab,UNKNOWN,PHASE2,,
NCT00068757,Trastuzumab,COMPLETED,PHASE1,,
NCT05980481,Trastuzumab,ACTIVE_NOT_RECRUITING,"PHASE2,PHASE3",,
NCT06331169,Trastuzumab,RECRUITING,PHASE1,,
NCT05203601,Trastuzumab,COMPLETED,PHASE1,,
NCT05349383,Trastuzumab,COMPLETED,,,
NCT01937117,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT02244580,Trastuzumab,COMPLETED,NA,,
NCT06251401,Trastuzumab,RECRUITING,NA,,
NCT06483386,Trastuzumab,NOT_YET_RECRUITING,PHASE2,,
NCT03006172,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE1,,
NCT05159193,Trastuzumab,RECRUITING,PHASE3,,
NCT00433407,Trastuzumab,COMPLETED,NA,,
NCT00955890,Trastuzumab,TERMINATED,PHASE2,,Enrolled too slow
NCT01238029,Trastuzumab,TERMINATED,PHASE1,,"new methods of treatment, no more patients appilicable for study"
NCT06994377,Trastuzumab,RECRUITING,,,
NCT06767436,Trastuzumab,RECRUITING,,,
NCT00629499,Trastuzumab,COMPLETED,PHASE2,,
NCT07093931,Trastuzumab,NOT_YET_RECRUITING,PHASE4,,
NCT04605575,Trastuzumab,UNKNOWN,PHASE2,,
NCT02638428,Trastuzumab,UNKNOWN,PHASE2,,
NCT01912963,Trastuzumab,TERMINATED,PHASE2,,The study terminated early due to weak accrual.
NCT04014075,Trastuzumab,COMPLETED,PHASE2,,
NCT00317720,Trastuzumab,COMPLETED,"PHASE1,PHASE2",,
NCT05594082,Trastuzumab,UNKNOWN,,,
NCT05356897,Trastuzumab,WITHDRAWN,PHASE2,,no sites were regulatory ready and the SC took the study to a different group.
NCT01432886,Trastuzumab,COMPLETED,PHASE1,,
NCT05553522,Trastuzumab,RECRUITING,PHASE1,,
NCT00272987,Trastuzumab,TERMINATED,PHASE3,,Enrollment was closed after the open label stage due to poor recruitment rate (randomized stage never opened).
NCT05253651,Trastuzumab,RECRUITING,PHASE3,,
NCT01364493,Trastuzumab,COMPLETED,PHASE2,,
NCT05765357,Trastuzumab,COMPLETED,PHASE1,,
NCT04329065,Trastuzumab,RECRUITING,PHASE2,,
NCT05803889,Trastuzumab,UNKNOWN,,,
NCT01439191,Trastuzumab,COMPLETED,PHASE2,,
NCT01928290,Trastuzumab,COMPLETED,PHASE2,,
NCT04439110,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT06481553,Trastuzumab,ACTIVE_NOT_RECRUITING,,,
NCT01669239,Trastuzumab,COMPLETED,PHASE2,,
NCT02144012,Trastuzumab,TERMINATED,PHASE3,,
NCT05193292,Trastuzumab,UNKNOWN,PHASE2,,
NCT03696771,Trastuzumab,COMPLETED,PHASE1,,
NCT02214004,Trastuzumab,UNKNOWN,PHASE2,,
NCT00512993,Trastuzumab,COMPLETED,PHASE3,,
NCT00964704,Trastuzumab,WITHDRAWN,PHASE2,,No patients have been recruited therefore study has been cancelled
NCT04983238,Trastuzumab,COMPLETED,"PHASE1,PHASE2",,
NCT03321981,Trastuzumab,COMPLETED,PHASE2,,
NCT07073755,Trastuzumab,RECRUITING,,,
NCT00485979,Trastuzumab,COMPLETED,PHASE2,,
NCT02062983,Trastuzumab,SUSPENDED,,,Difficulty in enrolling patients
NCT03765983,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT04120246,Trastuzumab,SUSPENDED,PHASE1,,Study placed on hold.
NCT03168880,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE3,,
NCT03014076,Trastuzumab,COMPLETED,PHASE1,,
NCT02199418,Trastuzumab,COMPLETED,PHASE2,,
NCT06731478,Trastuzumab,RECRUITING,PHASE3,,
NCT05945368,Trastuzumab,UNKNOWN,PHASE2,,
NCT03323424,Trastuzumab,WITHDRAWN,PHASE2,,No patient enrolled during the authorized period
NCT02152943,Trastuzumab,COMPLETED,PHASE1,,
NCT00331552,Trastuzumab,COMPLETED,"PHASE1,PHASE2",,
NCT01921335,Trastuzumab,COMPLETED,PHASE1,,
NCT01084876,Trastuzumab,COMPLETED,PHASE3,,
NCT03024450,Trastuzumab,COMPLETED,,,
NCT00496808,Trastuzumab,COMPLETED,NA,,
NCT01329640,Trastuzumab,TERMINATED,PHASE2,,
NCT01423123,Trastuzumab,COMPLETED,PHASE1,,
NCT03365882,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT03412643,Trastuzumab,UNKNOWN,PHASE2,,
NCT01513408,Trastuzumab,UNKNOWN,NA,,
NCT06537674,Trastuzumab,NOT_YET_RECRUITING,,,
NCT00567190,Trastuzumab,COMPLETED,PHASE3,,
NCT06680596,Trastuzumab,ENROLLING_BY_INVITATION,PHASE2,,
NCT07049133,Trastuzumab,NOT_YET_RECRUITING,,,
NCT00047255,Trastuzumab,COMPLETED,PHASE3,,
NCT00005926,Trastuzumab,COMPLETED,PHASE2,,
NCT06174987,Trastuzumab,RECRUITING,PHASE3,,
NCT04983121,Trastuzumab,RECRUITING,PHASE2,,
NCT05755048,Trastuzumab,RECRUITING,PHASE3,,
NCT07047755,Trastuzumab,NOT_YET_RECRUITING,PHASE2,,
NCT03153163,Trastuzumab,COMPLETED,PHASE1,,
NCT00896376,Trastuzumab,COMPLETED,NA,,
NCT00429299,Trastuzumab,COMPLETED,PHASE2,,
NCT03975647,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE3,,
NCT05978648,Trastuzumab,RECRUITING,PHASE2,,
NCT04188548,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE1,,
NCT00004074,Trastuzumab,COMPLETED,PHASE1,,
NCT04903652,Trastuzumab,COMPLETED,PHASE2,,
NCT02725424,Trastuzumab,COMPLETED,PHASE2,,
NCT01597414,Trastuzumab,COMPLETED,PHASE2,,
NCT05078190,Trastuzumab,ACTIVE_NOT_RECRUITING,,,
NCT02135159,Trastuzumab,COMPLETED,PHASE1,,
NCT02063724,Trastuzumab,COMPLETED,PHASE1,,
NCT04457596,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE3,,
NCT05346224,Trastuzumab,ACTIVE_NOT_RECRUITING,PHASE3,,
NCT07130344,Trastuzumab,NOT_YET_RECRUITING,NA,,
NCT01904903,Trastuzumab,COMPLETED,PHASE2,,
NCT05346861,Trastuzumab,UNKNOWN,PHASE3,,
NCT05997524,Trastuzumab,COMPLETED,PHASE2,,
NCT01300962,Trastuzumab,COMPLETED,PHASE1,,
NCT04509596,Trastuzumab,COMPLETED,PHASE1,,
NCT05226728,Pembrolizumab,COMPLETED,PHASE1,,
NCT04219254,Pembrolizumab,RECRUITING,"PHASE1,PHASE2",,
NCT04901741,Pembrolizumab,NOT_YET_RECRUITING,PHASE2,,
NCT04638582,Pembrolizumab,RECRUITING,PHASE2,,
NCT05775289,Pembrolizumab,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT02708641,Pembrolizumab,COMPLETED,PHASE2,,
NCT05296772,Pembrolizumab,UNKNOWN,PHASE1,,
NCT05410145,Pembrolizumab,RECRUITING,"PHASE1,PHASE2",,
NCT04739202,Pembrolizumab,UNKNOWN,PHASE2,,
NCT05541445,Pembrolizumab,UNKNOWN,"PHASE1,PHASE2",,
NCT06793215,Pembrolizumab,RECRUITING,PHASE3,,
NCT02757391,Pembrolizumab,TERMINATED,PHASE1,,Study halted prematurely and will not resume; participants are no longer being examined or receiving intervention.
NCT04724018,Pembrolizumab,RECRUITING,"PHASE1,PHASE2",,
NCT02999477,Pembrolizumab,ACTIVE_NOT_RECRUITING,PHASE1,,
NCT06711900,Pembrolizumab,RECRUITING,PHASE3,,
NCT05809336,Pembrolizumab,COMPLETED,"PHASE2,PHASE3",,
NCT04165798,Pembrolizumab,RECRUITING,,,
NCT03419481,Pembrolizumab,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT04119830,Pembrolizumab,WITHDRAWN,PHASE2,,implementation issues
NCT03815630,Pembrolizumab,UNKNOWN,EARLY_PHASE1,,
NCT02575807,Pembrolizumab,TERMINATED,"PHASE1,PHASE2",,Study was stopped due to low enrollment and lack of clinical activity.
NCT04153734,Pembrolizumab,NOT_YET_RECRUITING,PHASE2,,
NCT07163507,Pembrolizumab,NOT_YET_RECRUITING,,,
NCT02730546,Pembrolizumab,COMPLETED,"PHASE1,PHASE2",,
NCT04179110,Pembrolizumab,WITHDRAWN,PHASE2,,Funding was withdrawn prior to first enrollment.
