pmid,title,year,source
41239588,Progressive myalgia as the sole manifestation of cancer-associated myositis: A case report and review of the literature.,2025,colorectal cancer
41239576,ZnO nanoparticles enhance the cytotoxic effects of a chalcone-sulfonamide hybrid by impairing the autophagic flux and upregulating HIF-1α expression.,2025,colorectal cancer
41239501,Diverging global incidence trends of early-onset cancers: comparisons with incidence trends of later-onset cancers and mortality trends of early-onset cancers.,2025,colorectal cancer
41239499,An immunometabolic prodrug strategy overcomes DHODH inhibitor resistance in refractory melanoma.,2025,colorectal cancer
41239456,Pan-cancer analysis identifies LMBR1L as a prognostic and immunological biomarker with validation in colorectal cancer.,2025,colorectal cancer
41239427,The VCPKMT-VCP-HDAC1 axis inhibits colorectal cancer by conferring sensitivity to ferroptosis.,2025,colorectal cancer
41239322,"Facilitator and barrier perspectives on learning and implementing high-resolution anoscopy in Abuja, Nigeria: a qualitative study.",2025,colorectal cancer
41239247,Global burden of colorectal cancer in 2022 and projections to 2050: incidence and mortality estimates from GLOBOCAN.,2025,colorectal cancer
41239188,Detection of circulating tumor DNA in colorectal cancer patients using a methylation-specific droplet digital PCR multiplex.,2025,colorectal cancer
41238984,Prognostic Value of Circulating Tumor DNA for Recurrence and Survival in Patients Undergoing Local Treatment for Initially Unresectable RAS/RAF Mutated Colorectal Cancer Liver Metastases.,2025,colorectal cancer
41239466,Olutasidenib for mutated IDH1 acute myeloid leukemia: final five-year results from the phase 2 pivotal cohort.,2025,acute myeloid leukemia
41239429,Early mortality in patients with acute promyelocytic leukemia: a systematic review and meta-analysis.,2025,acute myeloid leukemia
41238480,What is the Prognostic Relevance of Responses Less Than a CR to Initial AML Treatment?,2025,acute myeloid leukemia
41238479,Prevalence and Prognostic Impact of NPM1 Mutation in Childhood Acute Myeloid Leukemia: Experience from a Single Tertiary Cancer Centre in India.,2025,acute myeloid leukemia
41238325,Updates on current and future research in acute myeloid leukemia.,2025,acute myeloid leukemia
41237688,"Temporal trends in AML incidence and mortality, with a focus on AML-related deaths among patients with myelodysplastic syndromes in the United States, 1999-2023.",2025,acute myeloid leukemia
41237364,Glutaredoxin 2 is essential for AML survival through mitochondrial permeability transition pore regulation.,2025,acute myeloid leukemia
41236709,Association of EASIX Score with Non-relapse Mortality and Overall Survival in Pediatric Acute Leukemia Patients Undergoing Allogeneic Hematopoietic Stem Cell Transplantation.,2025,acute myeloid leukemia
41236689,Acute Myeloid Leukemia Patients with High-Risk Karyotypes Benefit from Decitabine in Combination with Modified CAG.,2025,acute myeloid leukemia
41236654,The crucial role of circadian synchronization in bone marrow adipose tissue mesenchymal stem cells: insights into pathogenesis in Fanconi anemia and acute myeloid leukemia.,2025,acute myeloid leukemia
41236280,Cutaneous and Orbital Myeloid Sarcoma as the Initial Clinical Presentation of Acute Myeloid Leukemia in an Infant.,2025,acute myeloid leukemia
41235763,"Venetoclax plus decitabine, cytarabine, aclarubicin, and G-CSF in adults with newly diagnosed acute myeloid leukemia: A multicenter, retrospective study.",2025,acute myeloid leukemia
41235128,Masking as Myelofibrosis: A Case of Tp53 Mutated Acute Erythroid Leukemia Presenting With Pancytopenia and Bone Pain.,2025,acute myeloid leukemia
41235000,Dual Challenge: Managing Complicated Diphtheria in a Child With Acute Myeloid Leukemia.,2025,acute myeloid leukemia
41234969,Vaginal Myeloid Sarcoma: A Rare Extramedullary Presentation of a Myeloid Neoplasm.,2025,acute myeloid leukemia
41234859,A novel manganese metabolism- and immune-related prognostic risk model for acute myeloid leukemia.,2025,acute myeloid leukemia
41234771,Mutant NPM1 modulates PDCD4 ubiquitination degradation and facilitates leukemogenesis.,2025,acute myeloid leukemia
41234658,Pleural Infiltration Revealing Post-Essential Thrombocythemia Acute Myeloid Leukaemia.,2025,acute myeloid leukemia
41234501,SRSF7 serves as a potential therapeutic target in acute myeloid leukemia.,2026,acute myeloid leukemia
41234112,[Latest Research Progress of E3 Ubiquitin Ligase in the Diagnosis and Treatment of Acute Myeloid Leukemia --Review].,2025,acute myeloid leukemia
